Time,Analog,Pressure(Kpa)
1.571669984,113,-117.9932
1.580696529,113,-117.9932
1.583486164,114,-117.6496
1.589553729,114,-117.6496
1.591959282,113,-117.9932
1.600108317,114,-117.6496
1.604194677,113,-117.9932
1.610292243,114,-117.6496
1.612459371,113,-117.9932
1.6200234,114,-117.6496
1.625002665,114,-117.6496
1.629698505,114,-117.6496
1.632905381,113,-117.9932
1.640982969,114,-117.6496
1.645271041,113,-117.9932
1.649954644,114,-117.6496
1.6585225,113,-117.9932
1.661588849,113,-117.9932
1.665686656,113,-117.9932
1.670211179,113,-117.9932
1.679011537,113,-117.9932
1.681976437,113,-117.9932
1.686180825,114,-117.6496
1.690758637,113,-117.9932
1.699421231,113,-117.9932
1.702592975,114,-117.6496
1.706394727,114,-117.6496
1.714659816,114,-117.6496
1.719220655,114,-117.6496
1.722676613,114,-117.6496
1.72879589,114,-117.6496
1.73503201,114,-117.6496
1.739225739,113,-117.9932
1.742928016,113,-117.9932
1.749192162,113,-117.9932
1.755513546,113,-117.9932
1.760012016,113,-117.9932
1.763658634,113,-117.9932
1.771637536,114,-117.6496
1.776040478,114,-117.6496
1.780506974,114,-117.6496
1.784536886,114,-117.6496
1.792597499,113,-117.9932
1.79779466,113,-117.9932
1.800846799,113,-117.9932
1.805009738,113,-117.9932
1.813062457,114,-117.6496
1.818223697,114,-117.6496
1.821335835,113,-117.9932
1.829489213,113,-117.9932
1.833567678,113,-117.9932
1.838358256,113,-117.9932
1.841588028,113,-117.9932
1.849789169,113,-117.9932
1.854036978,114,-117.6496
1.858976768,114,-117.6496
1.86236641,114,-117.6496
1.870397023,114,-117.6496
1.87447983,113,-117.9932
1.879264487,113,-117.9932
1.887801553,113,-117.9932
1.891096457,113,-117.9932
1.895018604,113,-117.9932
1.899204044,113,-117.9932
1.908600066,114,-117.6496
1.911354965,114,-117.6496
1.917177396,114,-117.6496
1.919639001,114,-117.6496
1.928010276,114,-117.6496
1.931905186,113,-117.9932
1.937384982,113,-117.9932
1.944182819,113,-117.9932
1.948325627,113,-117.9932
1.952390671,114,-117.6496
1.958162575,114,-117.6496
1.964482775,114,-117.6496
1.968717557,114,-117.6496
1.97257102,114,-117.6496
1.977607916,114,-117.6496
1.986226694,114,-117.6496
1.988933433,113,-117.9932
1.993372692,113,-117.9932
2.001422252,114,-117.6496
2.006023749,114,-117.6496
2.009733921,114,-117.6496
2.015413851,113,-117.9932
