Time,Analog,Pressure(Kpa)
0.000268029,6,-154.7584
0.000437768,126,-113.5264
0.000593296,126,-113.5264
0.00075514,126,-113.5264
0.000932773,126,-113.5264
0.001081985,125,-113.87
0.001233566,125,-113.87
0.001384752,125,-113.87
0.001532385,125,-113.87
0.001680808,126,-113.5264
0.001843441,126,-113.5264
0.001993048,126,-113.5264
0.00214147,126,-113.5264
0.002291472,126,-113.5264
0.002438316,125,-113.87
0.002585554,125,-113.87
0.002735951,125,-113.87
0.002937269,125,-113.87
0.00308806,126,-113.5264
0.003238851,126,-113.5264
0.003386484,126,-113.5264
0.003767014,125,-113.87
0.003931227,126,-113.5264
0.004080044,126,-113.5264
0.004230835,126,-113.5264
0.004377284,126,-113.5264
0.004524917,126,-113.5264
0.004675314,126,-113.5264
0.004832815,126,-113.5264
0.004974922,125,-113.87
0.005116634,125,-113.87
0.005255978,125,-113.87
0.005393742,125,-113.87
0.00553427,126,-113.5264
0.005672824,126,-113.5264
0.005810984,126,-113.5264
0.005961775,126,-113.5264
0.006103487,126,-113.5264
0.006241646,125,-113.87
0.006379806,125,-113.87
0.006520728,125,-113.87
0.006658493,125,-113.87
0.006797047,126,-113.5264
0.006973496,126,-113.5264
0.007192972,126,-113.5264
1.577641232,126,-113.5264
1.581763119,125,-113.87
1.585899216,126,-113.5264
1.590020313,125,-113.87
1.598088032,126,-113.5264
1.602339788,125,-113.87
1.606556413,127,-113.1828
1.614510051,125,-113.87
1.618705754,126,-113.5264
1.622849352,125,-113.87
1.62702137,126,-113.5264
1.634984877,125,-113.87
1.639208607,126,-113.5264
1.643395231,125,-113.87
1.647536855,126,-113.5264
1.655446677,125,-113.87
1.659670012,125,-113.87
1.663821899,125,-113.87
1.671840275,125,-113.87
1.67611769,125,-113.87
1.680191418,126,-113.5264
1.684355542,127,-113.1828
1.692356549,126,-113.5264
1.696496594,127,-113.1828
1.700668218,126,-113.5264
1.704858,126,-113.5264
1.712785191,126,-113.5264
1.717185764,125,-113.87
1.721219229,125,-113.87
1.72921392,125,-113.87
1.733380808,125,-113.87
1.737601774,125,-113.87
1.741864189,126,-113.5264
1.74965243,126,-113.5264
1.753886818,127,-113.1828
1.758161075,126,-113.5264
1.762196513,126,-113.5264
1.770141862,126,-113.5264
1.774363223,125,-113.87
1.778559321,125,-113.87
1.786542171,125,-113.87
1.790730768,125,-113.87
1.794889366,126,-113.5264
1.799051516,126,-113.5264
1.807015813,126,-113.5264
1.811168489,126,-113.5264
1.815384324,126,-113.5264
1.819522,125,-113.87
1.827520244,125,-113.87
1.831697,125,-113.87
1.835832702,125,-113.87
1.840030774,125,-113.87
1.848054282,126,-113.5264
1.852191168,126,-113.5264
1.856375424,126,-113.5264
1.864357879,126,-113.5264
1.868523976,126,-113.5264
1.872707048,125,-113.87
1.876870382,125,-113.87
1.884831126,125,-113.87
1.889070645,125,-113.87
1.893193716,126,-113.5264
1.897338103,126,-113.5264
1.905304373,126,-113.5264
1.909553366,126,-113.5264
1.913736043,126,-113.5264
1.921700339,126,-113.5264
1.925929596,126,-113.5264
1.930043587,125,-113.87
1.934223896,125,-113.87
1.942169244,125,-113.87
1.9463685,125,-113.87
1.950527493,126,-113.5264
1.954728327,126,-113.5264
1.962664202,127,-113.1828
1.966827537,126,-113.5264
1.971111267,126,-113.5264
1.979105169,126,-113.5264
1.983277583,125,-113.87
1.987448022,125,-113.87
1.9917432,125,-113.87
1.999516837,125,-113.87
2.003729119,126,-113.5264
2.007944954,126,-113.5264
2.012072367,126,-113.5264
2.019983374,126,-113.5264
2.024322762,126,-113.5264
2.028534255,126,-113.5264
2.036446446,125,-113.87
2.040714781,125,-113.87
2.04503917,125,-113.87
